Increment,4,4,4,5,6,7,8,9,12,30,35
1,6,7,17,50,32,11,94,479,96,141,20
2,18,21,51,150,96,33,282,1437,288,423,60
3,24,28,68,200,128,44,376,1916,384,564,80
4,42,49,119,350,224,77,658,3353,672,987,140
5,66,77,187,550,352,121,1034,5269,1056,1551,220
6,108,126,306,900,576,198,1692,8622,1728,2538,360
7,174,203,493,1450,928,319,2726,13891,2784,4089,580
8,282,329,799,2350,1504,517,4418,22513,4512,6627,940
9,456,532,1292,3800,2432,836,7144,36404,7296,10716,1520
10,738,861,2091,6150,3936,1353,11562,58917,11808,17343,2460
11,1194,1393,3383,9950,6368,2189,18706,95321,19104,28059,3980
12,1932,2254,5474,16100,10304,3542,30268,154238,30912,45402,6440
13,23126,3647,8857,26050,523126,5731,48974,249559,50016,73461,10420
14,5058,5901,14331,42150,26976,9273,79242,403797,80928,118863,16860
15,8184,9548,23188,68200,43648,15004,128216,653356,130944,192324,27280
16,13242,15449,37519,110350,70624,24277,207458,1057153,211872,311187,44140
17,21426,24997,60707,178550,114272,39281,335674,1710509,342816,503511,71420
18,34668,40446,98226,288900,184896,63558,543132,2767662,554688,814698,115560
19,56094,65443,158933,467450,299168,102839,878806,4478171,897504,1318209,186980
20,90762,105889,257159,756350,484064,166397,1421938,7245833,1452192,2132907,302540
